KOTAK,HDFC,ICICI,AXIS,IDFC,SBI,PNB,BOB,CANARA,UNION
6,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
6,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
6,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
6,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
6,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
6,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
6,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
6,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
6,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
6,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
6,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
6,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
6,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
6,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
6,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
6,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
6,5.75,5.75,5.75,6.5,5.75,5.5,5.75,6.25,5.25
